Connection/Authentication	user	No		-2147483647	all versions	 The user to connect as 
Connection/Authentication	autoReconnect	No	false	0	1.1	 Should the driver try to re-establish stale and/or dead connections? If enabled the driver will throw an exception for a queries issued on a stale or dead connection, which belong to the current transaction, but will attempt reconnect before the next query issued on the connection in a new transaction. The use of this feature is not recommended, because it has side effects related to session state and data consistency when applications don't handle SQLExceptions properly, and is only designed to be used when you are unable to configure your application to handle SQLExceptions resulting from dead and stale connections properly. Alternatively, as a last option, investigate setting the MySQL server variable "wait_timeout" to a high value, rather than the default of 8 hours. 
Connection/Authentication	autoReconnectForPools	No	false	1	3.1.3	 Use a reconnection strategy appropriate for connection pools (defaults to 'false') 
Connection/Authentication	failOverReadOnly	No	true	2	3.0.12	 When failing over in autoReconnect mode, should the connection be set to 'read-only'? 
Connection/Authentication	maxReconnects	No	3	4	1.1	 Maximum number of reconnects to attempt if autoReconnect is true, default is '3'. 
Connection/Authentication	reconnectAtTxEnd	No	false	4	3.0.10	 If autoReconnect is set to true, should the driver attempt reconnections at the end of every transaction? 
Connection/Authentication	retriesAllDown	No	120	4	5.1.6	 When using loadbalancing or failover, the number of times the driver should cycle through available hosts, attempting to connect. Between cycles, the driver will pause for 250ms if no servers are available. 
Connection/Authentication	initialTimeout	No	2	5	1.1	 If autoReconnect is enabled, the initial time to wait between re-connect attempts (in seconds, defaults to '2'). 
Connection/Authentication	roundRobinLoadBalance	No	false	5	3.1.2	 When autoReconnect is enabled, and failoverReadonly is false, should we pick hosts to connect to on a round-robin basis? 
Connection/Authentication	queriesBeforeRetryMaster	No	50	7	3.0.2	 Number of queries to issue before falling back to the primary host when failed over (when using multi-host failover). Whichever condition is met first, 'queriesBeforeRetryMaster' or 'secondsBeforeRetryMaster' will cause an attempt to be made to reconnect to the primary host. Setting both properties to 0 disables the automatic fall back to the primary host at transaction boundaries. Defaults to 50. 
Connection/Authentication	secondsBeforeRetryMaster	No	30	8	3.0.2	 How long should the driver wait, when failed over, before attempting to reconnect to the primary host? Whichever condition is met first, 'queriesBeforeRetryMaster' or 'secondsBeforeRetryMaster' will cause an attempt to be made to reconnect to the master. Setting both properties to 0 disables the automatic fall back to the primary host at transaction boundaries. Time in seconds, defaults to 30 
Connection/Authentication	allowMasterDownConnections	No	false	2147483647	5.1.27	 By default, a replication-aware connection will fail to connect when configured master hosts are all unavailable at initial connection. Setting this property to 'true' allows to establish the initial connection, by failing over to the slave servers, in read-only state. It won't prevent subsequent failures when switching back to the master hosts i.e. by setting the replication connection to read/write state. 
Connection/Authentication	allowSlaveDownConnections	No	false	2147483647	5.1.38	 By default, a replication-aware connection will fail to connect when configured slave hosts are all unavailable at initial connection. Setting this property to 'true' allows to establish the initial connection. It won't prevent failures when switching to slaves i.e. by setting the replication connection to read-only state. The property 'readFromMasterWhenNoSlaves' should be used for this purpose. 
Connection/Authentication	readFromMasterWhenNoSlaves	No	false	2147483647	5.1.38	 Replication-aware connections distribute load by using the master hosts when in read/write state and by using the slave hosts when in read-only state. If, when setting the connection to read-only state, none of the slave hosts are available, an SQLExeception is thrown back. Setting this property to 'true' allows to fail over to the master hosts, while setting the connection state to read-only, when no slave hosts are available at switch instant. 
Connection/Authentication	replicationEnableJMX	No	false	2147483647	5.1.27	 Enables JMX-based management of load-balanced connection groups, including live addition/removal of hosts from load-balancing pool. 
Connection/Authentication	selfDestructOnPingMaxOperations	No	0	2147483647	5.1.6	 If set to a non-zero value, the driver will report close the connection and report failure when Connection.ping() or Connection.isValid(int) is called if the connection's count of commands sent to the server exceeds this value. 
Connection/Authentication	selfDestructOnPingSecondsLifetime	No	0	2147483647	5.1.6	 If set to a non-zero value, the driver will close the connection and report failure when Connection.ping() or Connection.isValid(int) is called if the connection's lifetime exceeds this value (in milliseconds). 
Connection/Authentication	replicationConnectionGroup	No		alpha	5.1.27	 Logical group of replication connections within a classloader, used to manage different groups independently. If not specified, live management of replication connections is disabled. 
Connection/Authentication	resourceId	No		alpha	5.0.1	 A globally unique name that identifies the resource that this datasource or connection is connected to, used for XAResource.isSameRM() when the driver can't determine this value based on hostnames used in the URL 
Connection/Authentication	allowMultiQueries	No	false	1	3.1.1	 Allow the use of ';' to delimit multiple queries during one statement (true/false), defaults to 'false', and does not affect the addBatch() and executeBatch() methods, which instead rely on rewriteBatchStatements. 
Connection/Authentication	useSSL	No	false	2	3.0.2	 Use SSL when communicating with the server (true/false), default is 'true' when connecting to MySQL 5.5.45+, 5.6.26+ or 5.7.6+, otherwise default is 'false' 
Connection/Authentication	requireSSL	No	false	3	3.1.0	 Require server support of SSL connection if useSSL=true? (defaults to 'false'). 
Connection/Authentication	verifyServerCertificate	No	true	4	5.1.6	 If "useSSL" is set to "true", should the driver verify the server's certificate? When using this feature, the keystore parameters should be specified by the "clientCertificateKeyStore*" properties, rather than system properties. Default is 'false' when connecting to MySQL 5.5.45+, 5.6.26+ or 5.7.6+ and "useSSL" was not explicitly set to "true". Otherwise default is 'true' 
Connection/Authentication	clientCertificateKeyStoreUrl	No		5	5.1.0	 URL to the client certificate KeyStore (if not specified, use defaults) 
Connection/Authentication	clientCertificateKeyStoreType	No	JKS	6	5.1.0	 KeyStore type for client certificates (NULL or empty means use the default, which is "JKS". Standard keystore types supported by the JVM are "JKS" and "PKCS12", your environment may have more available depending on what security products are installed and available to the JVM. 
Connection/Authentication	clientCertificateKeyStorePassword	No		7	5.1.0	 Password for the client certificates KeyStore 
Connection/Authentication	trustCertificateKeyStoreUrl	No		8	5.1.0	 URL to the trusted root certificate KeyStore (if not specified, use defaults) 
Connection/Authentication	trustCertificateKeyStoreType	No	JKS	9	5.1.0	 KeyStore type for trusted root certificates (NULL or empty means use the default, which is "JKS". Standard keystore types supported by the JVM are "JKS" and "PKCS12", your environment may have more available depending on what security products are installed and available to the JVM. 
Connection/Authentication	trustCertificateKeyStorePassword	No		10	5.1.0	 Password for the trusted root certificates KeyStore 
Connection/Authentication	enabledSSLCipherSuites	No		11	5.1.35	 If "useSSL" is set to "true", overrides the cipher suites enabled for use on the underlying SSL sockets. This may be required when using external JSSE providers or to specify cipher suites compatible with both MySQL server and used JVM. 
Connection/Authentication	enabledTLSProtocols	No		12	5.1.44	 If "useSSL" is set to "true", overrides the TLS protocols enabled for use on the underlying SSL sockets. This may be used to restrict connections to specific TLS versions. 
Connection/Authentication	allowLoadLocalInfile	No	true	2147483647	3.0.3	 Should the driver allow use of 'LOAD DATA LOCAL INFILE...' (defaults to 'true'). 
Connection/Authentication	allowUrlInLocalInfile	No	false	2147483647	3.1.4	 Should the driver allow URLs in 'LOAD DATA LOCAL INFILE' statements? 
Connection/Authentication	allowPublicKeyRetrieval	No	false	alpha	5.1.31	 Allows special handshake roundtrip to get server RSA public key directly from server. 
Connection/Authentication	paranoid	No	false	alpha	3.0.1	 Take measures to prevent exposure sensitive information in error messages and clear data structures holding sensitive data when possible? (defaults to 'false') 
Connection/Authentication	passwordCharacterEncoding	No		alpha	5.1.7	 What character encoding is used for passwords? Leaving this set to the default value (null), uses the value set in "characterEncoding" if there is one, otherwise uses UTF-8 as default encoding. If the password contains non-ASCII characters, the password encoding must match what server encoding was set to when the password was created. For passwords in other character encodings, the encoding will have to be specified with this property (or with "characterEncoding"), as it's not possible for the driver to auto-detect this. 
Connection/Authentication	serverRSAPublicKeyFile	No		alpha	5.1.31	 File path to the server RSA public key file for sha256_password authentication. If not specified, the public key will be retrieved from the server. 
Connection/Authentication	callableStmtCacheSize	No	100	5	3.1.2	 If 'cacheCallableStmts' is enabled, how many callable statements should be cached? 
Connection/Authentication	metadataCacheSize	No	50	5	3.1.1	 The number of queries to cache ResultSetMetadata for if cacheResultSetMetaData is set to 'true' (default 50) 
Connection/Authentication	useLocalSessionState	No	false	5	3.1.7	 Should the driver refer to the internal values of autocommit and transaction isolation that are set by Connection.setAutoCommit() and Connection.setTransactionIsolation() and transaction state as maintained by the protocol, rather than querying the database or blindly sending commands to the database for commit() or rollback() method calls? 
Connection/Authentication	useLocalTransactionState	No	false	6	5.1.7	 Should the driver use the in-transaction state provided by the MySQL protocol to determine if a commit() or rollback() should actually be sent to the database? 
Connection/Authentication	prepStmtCacheSize	No	25	10	3.0.10	 If prepared statement caching is enabled, how many prepared statements should be cached? 
Connection/Authentication	prepStmtCacheSqlLimit	No	256	11	3.0.10	 If prepared statement caching is enabled, what's the largest SQL the driver will cache the parsing for? 
Connection/Authentication	parseInfoCacheFactory	No	com.mysql.jdbc.PerConnectionLRUFactory	12	5.1.1	 Name of a class implementing com.mysql.jdbc.CacheAdapterFactory, which will be used to create caches for the parsed representation of client-side prepared statements. 
Connection/Authentication	serverConfigCacheFactory	No	com.mysql.jdbc.PerVmServerConfigCacheFactory	12	5.1.1	 Name of a class implementing com.mysql.jdbc.CacheAdapterFactory&lt;String, Map&lt;String, String&gt;&gt;, which will be used to create caches for MySQL server configuration values 
Connection/Authentication	alwaysSendSetIsolation	No	true	2147483647	3.1.7	 Should the driver always communicate with the database when Connection.setTransactionIsolation() is called? If set to false, the driver will only communicate with the database when the requested transaction isolation is different than the whichever is newer, the last value that was set via Connection.setTransactionIsolation(), or the value that was read from the server when the connection was established. Note that useLocalSessionState=true will force the same behavior as alwaysSendSetIsolation=false, regardless of how alwaysSendSetIsolation is set. 
Connection/Authentication	maintainTimeStats	No	true	2147483647	3.1.9	 Should the driver maintain various internal timers to enable idle time calculations as well as more verbose error messages when the connection to the server fails? Setting this property to false removes at least two calls to System.getCurrentTimeMillis() per query. 
Connection/Authentication	useCursorFetch	No	false	2147483647	5.0.0	 If connected to MySQL &gt; 5.0.2, and setFetchSize() &gt; 0 on a statement, should that statement use cursor-based fetching to retrieve rows? 
Connection/Authentication	blobSendChunkSize	No	1048576	alpha	3.1.9	 Chunk size to use when sending BLOB/CLOBs via ServerPreparedStatements. Note that this value cannot exceed the value of "maxAllowedPacket" and, if that is the case, then this value will be corrected automatically. 
Connection/Authentication	cacheCallableStmts	No	false	alpha	3.1.2	 Should the driver cache the parsing stage of CallableStatements 
Connection/Authentication	cachePrepStmts	No	false	alpha	3.0.10	 Should the driver cache the parsing stage of PreparedStatements of client-side prepared statements, the "check" for suitability of server-side prepared and server-side prepared statements themselves? 
Connection/Authentication	cacheResultSetMetadata	No	false	alpha	3.1.1	 Should the driver cache ResultSetMetaData for Statements and PreparedStatements? (Req. JDK-1.4+, true/false, default 'false') 
Connection/Authentication	cacheServerConfiguration	No	false	alpha	3.1.5	 Should the driver cache the results of 'SHOW VARIABLES' and 'SHOW COLLATION' on a per-URL basis? 
Connection/Authentication	defaultFetchSize	No	0	alpha	3.1.9	 The driver will call setFetchSize(n) with this value on all newly-created Statements 
Connection/Authentication	dontCheckOnDuplicateKeyUpdateInSQL	No	false	alpha	5.1.32	 Stops checking if every INSERT statement contains the "ON DUPLICATE KEY UPDATE" clause. As a side effect, obtaining the statement's generated keys information will return a list where normally it wouldn't. Also be aware that, in this case, the list of generated keys returned may not be accurate. The effect of this property is canceled if set simultaneously with 'rewriteBatchedStatements=true'. 
Connection/Authentication	dontTrackOpenResources	No	false	alpha	3.1.7	 The JDBC specification requires the driver to automatically track and close resources, however if your application doesn't do a good job of explicitly calling close() on statements or result sets, this can cause memory leakage. Setting this property to true relaxes this constraint, and can be more memory efficient for some applications. Also the automatic closing of the Statement and current ResultSet in Statement.closeOnCompletion() and Statement.getMoreResults ([Statement.CLOSE_CURRENT_RESULT | Statement.CLOSE_ALL_RESULTS]), respectively, ceases to happen. This property automatically sets holdResultsOpenOverStatementClose=true. 
Connection/Authentication	dynamicCalendars	No	false	alpha	3.1.5	 Should the driver retrieve the default calendar when required, or cache it per connection/session? 
Connection/Authentication	elideSetAutoCommits	No	false	alpha	3.1.3	 If using MySQL-4.1 or newer, should the driver only issue 'set autocommit=n' queries when the server's state doesn't match the requested state by Connection.setAutoCommit(boolean)? 
Connection/Authentication	enableEscapeProcessing	No	true	alpha	5.1.37	 Sets the default escape processing behavior for Statement objects. The method Statement.setEscapeProcessing() can be used to specify the escape processing behavior for an individual Statement object. Default escape processing behavior in prepared statements must be defined with the property 'processEscapeCodesForPrepStmts'. 
Connection/Authentication	enableQueryTimeouts	No	true	alpha	5.0.6	 When enabled, query timeouts set via Statement.setQueryTimeout() use a shared java.util.Timer instance for scheduling. Even if the timeout doesn't expire before the query is processed, there will be memory used by the TimerTask for the given timeout which won't be reclaimed until the time the timeout would have expired if it hadn't been cancelled by the driver. High-load environments might want to consider disabling this functionality. 
Connection/Authentication	holdResultsOpenOverStatementClose	No	false	alpha	3.1.7	 Should the driver close result sets on Statement.close() as required by the JDBC specification? 
Connection/Authentication	largeRowSizeThreshold	No	2048	alpha	5.1.1	 What size result set row should the JDBC driver consider "large", and thus use a more memory-efficient way of representing the row internally? 
Connection/Authentication	loadBalanceStrategy	No	random	alpha	5.0.6	 If using a load-balanced connection to connect to SQL nodes in a MySQL Cluster/NDB configuration (by using the URL prefix "jdbc:mysql:loadbalance://"), which load balancing algorithm should the driver use: (1) "random" - the driver will pick a random host for each request. This tends to work better than round-robin, as the randomness will somewhat account for spreading loads where requests vary in response time, while round-robin can sometimes lead to overloaded nodes if there are variations in response times across the workload. (2) "bestResponseTime" - the driver will route the request to the host that had the best response time for the previous transaction. (3) "serverAffinity" - the driver initially attempts to enforce server affinity while still respecting and benefiting from the fault tolerance aspects of the load-balancing implementation. The server affinity ordered list is provided using the property 'serverAffinityOrder'. If none of the servers listed in the affinity list is responsive, the driver then refers to the "random" strategy to proceed with choosing the next server. 
Connection/Authentication	locatorFetchBufferSize	No	1048576	alpha	3.2.1	 If 'emulateLocators' is configured to 'true', what size buffer should be used when fetching BLOB data for getBinaryInputStream? 
Connection/Authentication	readOnlyPropagatesToServer	No	true	alpha	5.1.35	 Should the driver issue appropriate statements to implicitly set the transaction access mode on server side when Connection.setReadOnly() is called? Setting this property to 'true' enables InnoDB read-only potential optimizations but also requires an extra roundtrip to set the right transaction state. Even if this property is set to 'false', the driver will do its best effort to prevent the execution of database-state-changing queries. Requires minimum of MySQL 5.6. 
Connection/Authentication	rewriteBatchedStatements	No	false	alpha	3.1.13	 Should the driver use multiqueries (irregardless of the setting of "allowMultiQueries") as well as rewriting of prepared statements for INSERT into multi-value inserts when executeBatch() is called? Notice that this has the potential for SQL injection if using plain java.sql.Statements and your code doesn't sanitize input correctly. Notice that for prepared statements, server-side prepared statements can not currently take advantage of this rewrite option, and that if you don't specify stream lengths when using PreparedStatement.set*Stream(), the driver won't be able to determine the optimum number of parameters per batch and you might receive an error from the driver that the resultant packet is too large. Statement.getGeneratedKeys() for these rewritten statements only works when the entire batch includes INSERT statements. Please be aware using rewriteBatchedStatements=true with INSERT .. ON DUPLICATE KEY UPDATE that for rewritten statement server returns only one value as sum of all affected (or found) rows in batch and it isn't possible to map it correctly to initial statements; in this case driver returns 0 as a result of each batch statement if total count was 0, and the Statement.SUCCESS_NO_INFO as a result of each batch statement if total count was &gt; 0. 
Connection/Authentication	serverAffinityOrder	No		alpha	5.1.43	 A comma separated list containing the host/port pairs that are to be used in load-balancing "serverAffinity" strategy. Only the sub-set of the hosts enumerated in the main hosts section in this URL will be used and they must be identical in case and type, i.e., can't use an IP address in one place and the corresponding host name in the other. 
Connection/Authentication	useDirectRowUnpack	No	true	alpha	5.1.1	 Use newer result set row unpacking code that skips a copy from network buffers to a MySQL packet instance and instead reads directly into the result set row data buffers. 
Connection/Authentication	useDynamicCharsetInfo	No	true	alpha	5.0.6	 Should the driver use a per-connection cache of character set information queried from the server when necessary, or use a built-in static mapping that is more efficient, but isn't aware of custom character sets or character sets implemented after the release of the JDBC driver? 
Connection/Authentication	useFastDateParsing	No	true	alpha	5.0.5	 Use internal String-&gt;Date/Time/Timestamp conversion routines to avoid excessive object creation? This is part of the legacy date-time code, thus the property has an effect only when "useLegacyDatetimeCode=true." 
Connection/Authentication	useFastIntParsing	No	true	alpha	3.1.4	 Use internal String-&gt;Integer conversion routines to avoid excessive object creation? 
Connection/Authentication	useJvmCharsetConverters	No	false	alpha	5.0.1	 Always use the character encoding routines built into the JVM, rather than using lookup tables for single-byte character sets? 
Connection/Authentication	useReadAheadInput	No	true	alpha	3.1.5	 Use newer, optimized non-blocking, buffered input stream when reading from the server? 
Connection/Authentication	logger	No	com.mysql.jdbc.log.StandardLogger	0	3.1.1	 The name of a class that implements "com.mysql.jdbc.log.Log" that will be used to log messages to. (default is "com.mysql.jdbc.log.StandardLogger", which logs to STDERR) 
Connection/Authentication	gatherPerfMetrics	No	false	1	3.1.2	 Should the driver gather performance metrics, and report them via the configured logger every 'reportMetricsIntervalMillis' milliseconds? 
Connection/Authentication	profileSQL	No	false	1	3.1.0	 Trace queries and their execution/fetch times to the configured logger (true/false) defaults to 'false' 
Connection/Authentication	profileSql	No		3	2.0.14	 Deprecated, use 'profileSQL' instead. Trace queries and their execution/fetch times on STDERR (true/false) defaults to 'false' 
Connection/Authentication	reportMetricsIntervalMillis	No	30000	3	3.1.2	 If 'gatherPerfMetrics' is enabled, how often should they be logged (in ms)? 
Connection/Authentication	maxQuerySizeToLog	No	2048	4	3.1.3	 Controls the maximum length/size of a query that will get logged when profiling or tracing 
Connection/Authentication	packetDebugBufferSize	No	20	7	3.1.3	 The maximum number of packets to retain when 'enablePacketDebug' is true 
Connection/Authentication	slowQueryThresholdMillis	No	2000	9	3.1.2	 If 'logSlowQueries' is enabled, how long should a query (in ms) before it is logged as 'slow'? 
Connection/Authentication	slowQueryThresholdNanos	No	0	10	5.0.7	 If 'useNanosForElapsedTime' is set to true, and this property is set to a non-zero value, the driver will use this threshold (in nanosecond units) to determine if a query was slow. 
Connection/Authentication	useUsageAdvisor	No	false	10	3.1.1	 Should the driver issue 'usage' warnings advising proper and efficient usage of JDBC and MySQL Connector/J to the log (true/false, defaults to 'false')? 
Connection/Authentication	autoGenerateTestcaseScript	No	false	alpha	3.1.9	 Should the driver dump the SQL it is executing, including server-side prepared statements to STDERR? 
Connection/Authentication	autoSlowLog	No	true	alpha	5.1.4	 Instead of using slowQueryThreshold* to determine if a query is slow enough to be logged, maintain statistics that allow the driver to determine queries that are outside the 99th percentile? 
Connection/Authentication	clientInfoProvider	No	com.mysql.jdbc.JDBC4CommentClientInfoProvider	alpha	5.1.0	 The name of a class that implements the com.mysql.jdbc.JDBC4ClientInfoProvider interface in order to support JDBC-4.0's Connection.get/setClientInfo() methods 
Connection/Authentication	dumpMetadataOnColumnNotFound	No	false	alpha	3.1.13	 Should the driver dump the field-level metadata of a result set into the exception message when ResultSet.findColumn() fails? 
Connection/Authentication	dumpQueriesOnException	No	false	alpha	3.1.3	 Should the driver dump the contents of the query sent to the server in the message for SQLExceptions? 
Connection/Authentication	enablePacketDebug	No	false	alpha	3.1.3	 When enabled, a ring-buffer of 'packetDebugBufferSize' packets will be kept, and dumped when exceptions are thrown in key areas in the driver's code 
Connection/Authentication	explainSlowQueries	No	false	alpha	3.1.2	 If 'logSlowQueries' is enabled, should the driver automatically issue an 'EXPLAIN' on the server and send the results to the configured log at a WARN level? 
Connection/Authentication	includeInnodbStatusInDeadlockExceptions	No	false	alpha	5.0.7	 Include the output of "SHOW ENGINE INNODB STATUS" in exception messages when deadlock exceptions are detected? 
Connection/Authentication	includeThreadDumpInDeadlockExceptions	No	false	alpha	5.1.15	 Include a current Java thread dump in exception messages when deadlock exceptions are detected? 
Connection/Authentication	includeThreadNamesAsStatementComment	No	false	alpha	5.1.15	 Include the name of the current thread as a comment visible in "SHOW PROCESSLIST", or in Innodb deadlock dumps, useful in correlation with "includeInnodbStatusInDeadlockExceptions=true" and "includeThreadDumpInDeadlockExceptions=true". 
Connection/Authentication	logSlowQueries	No	false	alpha	3.1.2	 Should queries that take longer than 'slowQueryThresholdMillis' be logged? 
Connection/Authentication	logXaCommands	No	false	alpha	5.0.5	 Should the driver log XA commands sent by MysqlXaConnection to the server, at the DEBUG level of logging? 
Connection/Authentication	profilerEventHandler	No	com.mysql.jdbc.profiler.LoggingProfilerEventHandler	alpha	5.1.6	 Name of a class that implements the interface com.mysql.jdbc.profiler.ProfilerEventHandler that will be used to handle profiling/tracing events. 
Connection/Authentication	resultSetSizeThreshold	No	100	alpha	5.0.5	 If the usage advisor is enabled, how many rows should a result set contain before the driver warns that it is suspiciously large? 
Connection/Authentication	traceProtocol	No	false	alpha	3.1.2	 Should trace-level network protocol be logged? 
Connection/Authentication	useNanosForElapsedTime	No	false	alpha	5.0.7	 For profiling/debugging functionality that measures elapsed time, should the driver try to use nanoseconds resolution if available (JDK &gt;= 1.5)? 
Connection/Authentication	useUnicode	No	true	0	1.1g	 Should the driver use Unicode character encodings when handling strings? Should only be used when the driver can't determine the character set mapping, or you are trying to 'force' the driver to use a character set that MySQL either doesn't natively support (such as UTF-8), true/false, defaults to 'true' 
Connection/Authentication	characterEncoding	No		5	1.1g	 If 'useUnicode' is set to true, what character encoding should the driver use when dealing with strings? (defaults is to 'autodetect') 
Connection/Authentication	characterSetResults	No		6	3.0.13	 Character set to tell the server to return results as. 
Connection/Authentication	connectionAttributes	No		7	5.1.25	 A comma-delimited list of user-defined key:value pairs (in addition to standard MySQL-defined key:value pairs) to be passed to MySQL Server for display as connection attributes in the PERFORMANCE_SCHEMA.SESSION_CONNECT_ATTRS table. Example usage: connectionAttributes=key1:value1,key2:value2 This functionality is available for use with MySQL Server version 5.6 or later only. Earlier versions of MySQL Server do not support connection attributes, causing this configuration option to be ignored. Setting connectionAttributes=none will cause connection attribute processing to be bypassed, for situations where Connection creation/initialization speed is critical. 
Connection/Authentication	connectionCollation	No		7	3.0.13	 If set, tells the server to use this collation via 'set collation_connection' 
Connection/Authentication	useBlobToStoreUTF8OutsideBMP	No	false	128	5.1.3	 Tells the driver to treat [MEDIUM/LONG]BLOB columns as [LONG]VARCHAR columns holding text encoded in UTF-8 that has characters outside the BMP (4-byte encodings), which MySQL server can't handle natively. 
Connection/Authentication	utf8OutsideBmpExcludedColumnNamePattern	No		129	5.1.3	 When "useBlobToStoreUTF8OutsideBMP" is set to "true", column names matching the given regex will still be treated as BLOBs unless they match the regex specified for "utf8OutsideBmpIncludedColumnNamePattern". The regex must follow the patterns used for the java.util.regex package. 
Connection/Authentication	utf8OutsideBmpIncludedColumnNamePattern	No		129	5.1.3	 Used to specify exclusion rules to "utf8OutsideBmpExcludedColumnNamePattern". The regex must follow the patterns used for the java.util.regex package. 
Connection/Authentication	loadBalanceEnableJMX	No	false	2147483647	5.1.13	 Enables JMX-based management of load-balanced connection groups, including live addition/removal of hosts from load-balancing pool. 
Connection/Authentication	loadBalanceHostRemovalGracePeriod	No	15000	2147483647	5.1.39	 Sets the grace period to wait for a host being removed from a load-balanced connection, to be released when it is currently the active host. 
Connection/Authentication	sessionVariables	No		2147483647	3.1.8	 A comma or semicolon separated list of name=value pairs to be sent as SET [SESSION] ... to the server when the driver connects. 
